,학교명,Latitude,Longitude,건물등급,인적등급,재난등급,공사등급,간접등급,재산등급,people_scope,property_scope,indirect_scope,construction_scope,disaster_scope
82,전북대 합동강의실(전대학술문화관),35.844182,127.12927759999998,80,10.0,0,0,10,3.0,86925,24355200,38,0,0
83,전북대 후생관(제1후생관),35.844182,127.12927759999998,80,10.0,0,0,10,3.0,86925,22523400,38,0,0
84,전북대학교병원 교수연구동,35.8471872,127.14058940000001,70,1.0,0,0,8,1.0,976,300700,7,0,0
85,전북대학교병원 장례식장,35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,89520,405100,7,0,0
86,전북대학교병원 치과병원,35.8471872,127.14058940000001,70,10.0,0,0,8,1.0,154880,405100,7,0,0
87,전일중학교 교사1동,35.838305299999995,127.14520470000001,80,3.0,0,0,10,6.0,4928,70502400,9,0,0
88,전일중학교 교사2동,35.838305299999995,127.14520470000001,80,3.0,0,0,10,4.0,4776,39283200,9,0,0
89,전주고등학교 기숙사 1,35.8253876,127.1518334,70,5.0,0,0,0,6.0,9900,76474800,0,0,0
90,전주고등학교 기숙사 2,35.8253876,127.1518334,80,5.0,0,0,0,6.0,9900,76474800,0,0,0
91,전주고등학교 대강당,35.8253876,127.1518334,70,7.0,0,0,0,6.0,24162,76474800,0,0,0
92,전주고등학교 본관동,35.8253876,127.1518334,70,7.0,0,0,0,4.0,24162,44807400,0,0,0
93,전주고등학교 체육관,35.8253876,127.1518334,70,7.0,0,0,0,5.0,24162,68912000,0,0,0
94,전주고등학교 후관(특별교사 : 과학동),35.8253876,127.1518334,70,8.0,0,0,0,6.0,35964,79307200,0,0,0
95,전주곤지중학교 본관,35.810056,127.1438624,70,1.0,10,5,0,8.0,1666,140253300,0,1,1
96,전주공업고등학교 실습실/직업훈련동,35.863420899999994,127.0742709,80,1.0,0,0,10,1.0,1961,7280000,10,0,0
97,전주교육대학교 교육문화관,35.809137799999995,127.15510400000001,60,4.0,0,0,0,6.0,7392,77840000,0,0,0
98,전주교육대학교 기숙사,35.8077841,127.15242190000001,60,1.0,0,0,0,8.0,1143,192080000,0,0,0
99,전주교육대학교 대학본부동,35.809137799999995,127.15510400000001,70,3.0,0,0,0,7.0,4584,113451800,0,0,0
100,전주교육대학교 도서관,35.809137799999995,127.15510400000001,60,4.0,0,0,0,6.0,7242,80369800,0,0,0
101,전주교육대학교 미술실과관,35.8087179,127.1572938,60,1.0,0,0,0,8.0,764,165064300,0,0,0
102,전주교육대학교 전산사회관,35.809137799999995,127.15510400000001,70,3.0,0,0,0,6.0,5058,82830100,0,0,0
103,전주교육대학교 학생회관,35.809137799999995,127.15510400000001,70,5.0,0,0,0,6.0,8154,77840000,0,0,0
104,전주교육대학교 황학당,35.809137799999995,127.15510400000001,70,3.0,0,0,0,4.0,4584,45870000,0,0,0
105,전주금암초등학교 교사1,35.837729100000004,127.1367111,70,3.0,0,0,6,7.0,5478,95951200,4,0,0
106,전주금암초등학교 교사2,35.837729100000004,127.1367111,70,3.0,0,0,6,8.0,5478,158614400,4,0,0
107,전주금평초등학교 교사1(본관),35.843624299999995,127.1474158,70,4.0,0,0,10,5.0,6220,57040000,23,0,0
108,전주금평초등학교 교사2(서관),35.843624299999995,127.1474158,70,4.0,0,0,10,5.0,6220,60462400,23,0,0
109,전주기린중학교 사무소건(본관동),35.848752000000005,127.14644109999999,70,3.0,0,0,0,2.0,5402,17440600,0,0,0
110,전주기린초등학교 교사4동,35.8346915,127.15970659999999,70,4.0,0,0,6,4.0,6124,39692400,5,0,0
111,전주남중학교 본관(교사동),35.7961131,127.14030749999999,80,3.0,0,0,0,1.0,5256,11125900,0,0,0
112,전주남초등학교 교사1동,35.8034458,127.1507508,70,5.0,0,0,0,7.0,8547,94550000,0,0,0
113,전주남초등학교 교사3동,35.8034458,127.1507508,70,5.0,0,0,0,7.0,8547,93604500,0,0,0
114,전주남초등학교 체육관,35.8033598,127.1507905,70,6.0,0,0,0,3.0,16983,30690000,0,0,0
115,전주대성초등학교 교사동,35.7975438,127.17778270000001,70,3.0,10,0,0,4.0,4400,42879200,0,0,1
116,전주덕일중학교 본관(교실),35.8479425,127.11134579999998,80,3.0,0,0,4,4.0,4539,37587500,3,0,0
117,전주덕일초등학교 별관,35.84869129999999,127.1121699,70,6.0,0,0,4,4.0,12639,42780000,3,0,0
118,전주덕일초등학교 본관,35.84869129999999,127.1121699,80,6.0,0,0,4,4.0,12639,41786400,3,0,0
119,전주덕진초등학교 교실1(후관동),35.8415348,127.12443929999999,70,1.0,0,5,4,4.0,455,50024700,3,1,0
120,전주동북초등학교 본관,35.8393814,127.14481570000001,70,3.0,0,0,10,4.0,4508,54956400,9,0,0
121,전주동북초등학교 후관,35.8393814,127.14481570000001,70,3.0,0,0,10,6.0,4508,86362400,9,0,0
122,전주동신초등학교 사무소(본관동),35.851801200000004,127.1564156,70,2.0,0,0,2,10.0,3463,487080000,1,0,0
123,전주동중학교 강당,35.8386852,127.15034550000001,70,4.0,0,0,0,9.0,7920,422739000,0,0,0
124,전주동중학교 교사1,35.8383027,127.1500555,70,4.0,0,0,0,8.0,7920,140940000,0,0,0
125,전주동중학교 교사2,35.8383027,127.1500555,70,4.0,0,0,0,8.0,7920,147204000,0,0,0
126,전주동중학교 교사3,35.8383027,127.1500555,70,4.0,0,0,0,4.0,7920,49183200,0,0,0
127,전주동초등학교 교사,35.8290261,127.1523055,70,2.0,0,5,0,10.0,3280,1168267000,0,1,0
128,전주문정초등학교 교사동1(본관),35.775457700000004,127.12759640000002,80,1.0,0,0,0,8.0,1508,169320000,0,0,0
129,전주미산초등학교 교사1(본관),35.8838799,127.10950259999998,70,1.0,0,0,2,7.0,1097,97370000,1,0,0
130,전주반월초등학교 본관,35.8754945,127.07378940000001,70,2.0,0,0,0,6.0,3352,85959900,0,0,0
131,전주부설초등학교 본관동,35.8084101,127.1510919,60,2.0,0,0,0,9.0,2778,439110000,0,0,0
132,전주부설초등학교 식당특별교실,35.8084101,127.1510919,60,2.0,0,0,0,9.0,2778,439110000,0,0,0
133,전주부설초등학교 저학년동,35.8084101,127.1510919,60,2.0,0,0,0,9.0,2778,253153800,0,0,0
134,전주북일초등학교 본관(1동),35.8421911,127.1556956,70,5.0,0,5,8,7.0,10882,86920000,7,1,0
135,전주북초등학교 교사,35.8421911,127.1556956,70,6.0,0,5,8,2.0,12986,12062800,7,1,0
136,전주삼천초등학교 본관,35.800714899999996,127.1234834,80,2.0,0,5,0,2.0,3560,19350000,0,1,0
137,전주상업정보고등학교 본관,35.8101667,127.125253,70,2.0,0,0,0,5.0,3773,58656000,0,0,0
138,전주생명과학고등학교 1본관 교실,35.8399673,127.14760600000001,70,2.0,0,0,10,8.0,3516,142072000,8,0,0
139,전주생명과학고등학교 2본관 교실,35.8399673,127.14760600000001,70,2.0,0,0,10,8.0,3516,218182000,8,0,0
140,전주생명과학고등학교 4본관,35.8399673,127.14760600000001,70,2.0,0,0,10,8.0,3516,200246000,8,0,0
141,전주생명과학고등학교 식품가공관 및 산업기계관,35.8399673,127.14760600000001,70,2.0,0,0,10,8.0,3516,200246000,8,0,0
142,전주서곡중학교 서곡중학교,35.8356469,127.10392859999999,70,3.0,0,5,0,8.0,4700,150774000,0,1,0
143,전주서곡초등학교 교사동,35.8328635,127.10052990000001,70,4.0,0,0,0,8.0,7062,198549000,0,0,0
144,전주서문초등학교 교사1동,35.829664799999996,127.1120554,70,6.0,0,0,0,8.0,11542,201250000,0,0,0
145,전주서문초등학교 교사2동,35.829664799999996,127.1120554,70,6.0,0,0,0,6.0,11542,79200500,0,0,0
146,전주서신중학교 교사,35.828728399999996,127.1167098,70,3.0,0,0,0,7.0,4700,113635500,0,0,0
147,전주서신초등학교 강당및 급식소,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,3148,230040000,0,1,0
148,전주서신초등학교 교사1동,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,3148,223138800,0,1,0
149,전주서신초등학교 교사2동,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,3148,311040000,0,1,0
150,전주서신초등학교 교사3동,35.829744500000004,127.12476140000001,70,2.0,0,5,0,9.0,3148,294840000,0,1,0
151,전주서원초등학교 교사1,35.8097765,127.1187742,60,4.0,0,0,0,9.0,5760,225600000,0,0,0
152,전주서원초등학교 교사2,35.8097765,127.1187742,70,4.0,0,0,0,9.0,5760,235000000,0,0,0
153,전주서원초등학교 교사3,35.8097765,127.1187742,60,4.0,0,0,0,10.0,5760,501255000,0,0,0
154,전주서일초등학교 교사1(본관),35.8363631,127.11496149999999,70,5.0,0,0,0,2.0,8254,20592000,0,0,0
155,전주서일초등학교 교사2(별관),35.8363631,127.11496149999999,70,5.0,0,0,0,1.0,8254,10010000,0,0,0
156,전주서중학교 교사 및 강당,35.8315528,127.10989280000001,80,4.0,0,0,0,1.0,6579,6399000,0,0,0
157,전주서천초등학교 교사동,35.832295200000004,127.10857279999999,70,4.0,0,0,0,1.0,7213,2481900,0,0,0
158,전주선화학교 교사(본관),35.8203812,127.090368,70,6.0,0,0,0,8.0,12459,138250000,0,0,0
159,전주선화학교 교사(서관),35.8203812,127.090368,70,6.0,0,0,0,5.0,12459,63484400,0,0,0
160,전주선화학교 식생활관,35.8203812,127.090368,70,6.0,0,0,0,5.0,12459,63484400,0,0,0
161,전주솔내고등학교 교사동,35.862762599999996,127.1230034,70,7.0,0,0,6,6.0,28767,72766800,5,0,0
162,전주솔내고등학교 기숙사,35.862762599999996,127.1230034,70,7.0,0,0,6,6.0,28767,72766800,5,0,0
163,전주솔내고등학교 체육관(강당및급식실),35.862762599999996,127.1230034,70,7.0,0,0,6,6.0,28767,72766800,5,0,0
164,전주솔빛중학교 급식실및교실,35.8592,127.124389,70,7.0,0,0,10,2.0,26817,15135400,15,0,0
165,전주솔빛중학교 본관,35.8592,127.124389,70,7.0,0,0,10,7.0,26817,94882200,15,0,0
166,전주송북초등학교 강당및급식소,35.8633129,127.12443119999999,70,7.0,0,5,6,6.0,20930,74907000,5,1,0
167,전주송북초등학교 교사동,35.8633129,127.12443119999999,70,7.0,0,5,6,4.0,20930,36225000,5,1,0
168,전주송천초등학교 교사동1(본관),35.857660100000004,127.1197604,70,7.0,0,0,10,8.0,18987,137760000,8,0,0
169,전주송천초등학교 교사동2(서관),35.857660100000004,127.1197604,70,7.0,0,0,10,7.0,18987,135004800,8,0,0
170,전주송천초등학교 교사동3(후관),35.857660100000004,127.1197604,70,7.0,0,0,10,7.0,18987,135004800,8,0,0
171,전주신동초등학교 강당/급식소,35.8692108,127.12662859999999,70,8.0,0,5,4,4.0,30602,33751200,2,1,0
172,전주신동초등학교 교사동,35.8692108,127.12662859999999,70,8.0,0,5,4,4.0,30602,33751200,2,1,0
173,전주신성초등학교 교사1동,35.790106,127.1341102,70,4.0,0,0,0,6.0,6338,74457000,0,0,0
174,전주신성초등학교 교사2동,35.790106,127.1341102,70,4.0,0,0,0,6.0,6338,72324000,0,0,0
175,전주신일중학교 본관동,35.829111299999994,127.1524818,70,3.0,0,5,0,8.0,3974,215758400,0,1,0
176,전주아중초등학교 교사1,35.828032,127.17536000000001,70,4.0,0,0,6,8.0,6286,138350400,4,0,0
177,전주아중초등학교 교사2,35.828032,127.17536000000001,70,4.0,0,0,6,7.0,6286,126996000,4,0,0
178,전주양지중학교 본관,35.7920451,127.1244548,70,1.0,0,0,0,4.0,1887,42801000,0,0,0
179,전주양지초등학교 강당,35.7924744,127.1260034,80,3.0,0,0,0,7.0,5040,91905000,0,0,0
180,전주양지초등학교 교사1,35.7924744,127.1260034,70,3.0,0,0,0,7.0,5040,91905000,0,0,0
181,전주양지초등학교 교사2,35.7924744,127.1260034,70,3.0,0,0,0,7.0,5040,91905000,0,0,0
182,전주여울초등학교 본관,35.837488,127.11118570000001,70,1.0,0,0,0,7.0,1989,91069500,0,0,0
183,전주여자고등학교 강당,35.8362484,127.14644240000001,70,5.0,0,0,0,6.0,9975,74359500,0,0,0
184,전주여자고등학교 교사(특별교실),35.8362484,127.14644240000001,70,5.0,0,0,0,5.0,9975,67942600,0,0,0
185,전주여자고등학교 교사(후관),35.8362484,127.14644240000001,70,5.0,0,0,0,6.0,9975,74359500,0,0,0
186,전주여자고등학교 식생활관,35.8362484,127.14644240000001,80,5.0,0,0,0,6.0,9975,71520400,0,0,0
187,전주영어체험학습센터,35.8346915,127.15970659999999,80,4.0,0,0,6,7.0,6734,110286000,5,0,0
188,전주온고을중학교 제1동 본관,35.8294565,127.1657517,70,5.0,0,0,6,2.0,9854,13368000,5,0,0
189,전주온고을중학교 제2동 강당급식소,35.8294565,127.1657517,70,5.0,0,0,6,2.0,9854,13368000,5,0,0
190,전주완산서초등학교 본관,35.806979,127.13329640000002,80,7.0,0,0,0,8.0,27315,175440000,0,0,0
191,전주완산초등학교 교사동1,35.806979,127.13329640000002,70,7.0,0,0,0,5.0,27315,65280000,0,0,0
192,전주완산초등학교 교사동2,35.806979,127.13329640000002,80,7.0,0,0,0,8.0,27315,168769200,0,0,0
193,전주용덕초등학교 교사 1동,35.876928899999996,127.0516585,70,1.0,0,0,6,4.0,145,36337600,5,0,0
194,전주용흥초등학교 교사,35.794458399999996,127.1122348,70,4.0,0,0,0,1.0,5974,7600000,0,0,0
195,전주우아중학교 강당,35.8542576,127.15387050000001,70,5.0,0,0,2,2.0,11252,15808000,1,0,0
196,전주우아중학교 교사,35.8542576,127.15387050000001,80,5.0,0,0,2,4.0,11252,51636000,1,0,0
197,전주우전중학교 교사,35.80549439999999,127.1066794,70,5.0,0,0,0,8.0,9252,179346000,0,0,0
198,전주우전초등학교 교사1,35.805528100000004,127.106866,70,6.0,0,0,0,7.0,11490,122120000,0,0,0
199,전주우전초등학교 교사2,35.805528100000004,127.106866,70,6.0,0,0,0,7.0,11490,118641000,0,0,0
200,전주은화학교 교사동,35.8190261,127.0863398,80,2.0,0,0,0,3.0,3510,25833000,0,0,0
201,전주은화학교 기숙사동,35.8190261,127.0863398,70,2.0,0,0,0,3.0,3510,26299100,0,0,0
202,전주인봉초등학교 본관,35.8269357,127.1649923,70,2.0,0,0,8,4.0,3784,46302900,6,0,0
203,전주인후초등학교 인후초등학교 1동,35.8315815,127.16258219999999,70,6.0,0,0,6,5.0,12078,63034200,5,0,0
204,전주인후초등학교 인후초등학교 3동|BU00083246,35.8315815,127.16258219999999,85,6.0,0,0,6,9.0,12078,303264000,5,0,0
205,전주장동초등학교 교사동3,35.8491609,127.0603415,70,1.0,0,0,6,9.0,187,257832000,4,0,0
206,전주전라초등학교 본관동,35.83916370000001,127.1522497,70,4.0,0,5,6,10.0,5580,954408000,5,1,0
207,전주전라초등학교 후관동,35.83916370000001,127.1522497,70,4.0,0,5,6,10.0,5580,1002972000,5,1,0
208,전주전일초등학교 강당,35.8301251,127.1375173,80,8.0,0,0,8,10.0,29536,733824000,6,0,0
209,전주전일초등학교 교사,35.8301251,127.1375173,70,8.0,0,0,8,10.0,29536,935312000,6,0,0
210,전주제일고등학교 과학관,35.821542,127.15836340000001,70,2.0,10,0,0,9.0,3932,344960000,0,0,1
211,전주제일고등학교 본관,35.821542,127.15836340000001,80,2.0,10,0,0,10.0,3932,453024000,0,0,1
212,전주조촌초등학교 교사 2동,35.869604100000004,127.07595409999999,80,8.0,0,5,10,9.0,30030,280341000,8,1,0
213,전주조촌초등학교 교사 3동,35.869604100000004,127.07595409999999,70,8.0,0,5,10,8.0,30030,151632000,8,1,0
214,전주조촌초등학교 교사 5동,35.869604100000004,127.07595409999999,80,8.0,0,5,10,9.0,30030,303264000,8,1,0
215,전주중산초등학교 강당/급식소,35.8170547,127.11969779999998,70,6.0,0,0,0,10.0,15111,722592000,0,0,0
216,전주중산초등학교 본관,35.8170547,127.11969779999998,70,6.0,0,0,0,10.0,15111,714100000,0,0,0
217,전주중산초등학교 후관,35.8170547,127.11969779999998,70,6.0,0,0,0,10.0,15111,814074000,0,0,0
218,전주중앙중학교 강당,35.8277482,127.1387791,80,3.0,0,0,4,10.0,5535,690206000,3,0,0
219,전주중앙중학교 본관(교사1),35.8277482,127.1387791,70,3.0,0,0,4,10.0,5535,811118000,3,0,0
220,전주중앙초등학교 중앙초등학교,35.8149209,127.15130970000001,70,3.0,0,0,0,10.0,4324,959882000,0,0,0
221,전주중인초등학교 교사동1,35.7710598,127.09750670000001,80,5.0,0,0,0,9.0,9108,251482000,0,0,0
222,전주중학교 교사,35.8577999,127.1226965,70,6.0,0,10,8,10.0,14028,616308000,7,2,0
223,전주중학교 급식소 및 교실,35.8577999,127.1226965,70,6.0,0,10,8,10.0,14028,564456000,7,2,0
224,전주진북초등학교 본관,35.826220500000005,127.1318631,70,5.0,0,0,8,10.0,10732,507150000,7,0,0
225,전주진북초등학교 후관,35.826220500000005,127.1318631,70,5.0,0,0,8,10.0,10732,507150000,7,0,0
226,전주초등학교 교사1,35.8221567,127.1394975,80,3.0,0,0,0,10.0,5337,664883000,0,0,0
227,전주초등학교 교사3,35.8221567,127.1394975,80,3.0,0,0,0,10.0,5337,664883000,0,0,0
228,전주초등학교 교사4,35.8221567,127.1394975,80,3.0,0,0,0,9.0,5337,233583000,0,0,0
229,전주초포초등학교 교사,35.877140000000004,127.1396902,70,1.0,0,0,0,7.0,1181,123321000,0,0,0
230,전주팔복초등학교 본관,35.8637005,127.094642,70,1.0,0,0,4,9.0,63,219051000,3,0,0
231,전주평화중학교 교사,35.7830969,127.13403909999998,60,1.0,0,0,0,9.0,2130,426400000,0,0,0
232,전주평화초등학교 교사1,35.799645,127.1390639,70,1.0,0,0,0,10.0,2310,559636000,0,0,0
233,전주평화초등학교 다목적강당,35.799645,127.1390639,70,1.0,0,0,0,10.0,2310,559636000,0,0,0
234,전주풍남중학교 본관,35.8001122,127.11600420000002,80,6.0,0,0,0,9.0,12472,248050000,0,0,0
235,전주풍남중학교 신관,35.8001122,127.11600420000002,70,6.0,0,0,0,9.0,12472,290444000,0,0,0
236,전주풍남초등학교 교사 1동,35.8220384,127.1537212,80,6.0,0,0,0,10.0,12310,853622000,0,0,0
237,전주풍남초등학교 교사 2동,35.8220384,127.1537212,70,6.0,0,0,0,10.0,12310,948576000,0,0,0
